2016-05-05 16:40:41,496 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@16fbdef7: startup date [Thu May 05 16:40:41 CST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2016-05-05 16:40:43,664 | INFO  | PListStore:[E:\develop_resource\MQ\apache-activemq-5.11.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2016-05-05 16:40:43,713 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[E:\develop_resource\MQ\apache-activemq-5.11.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2016-05-05 16:40:44,292 | INFO  | Apache ActiveMQ 5.11.1 (localhost, ID:luomm-PC-57754-1462437644151-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2016-05-05 16:40:44,322 | INFO  | Listening for connections at: tcp://luomm-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-05-05 16:40:44,329 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2016-05-05 16:40:44,337 | INFO  | Listening for connections at: amqp://luomm-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-05-05 16:40:44,343 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2016-05-05 16:40:44,351 | INFO  | Listening for connections at: stomp://luomm-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-05-05 16:40:44,358 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2016-05-05 16:40:44,368 | INFO  | Listening for connections at: mqtt://luomm-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-05-05 16:40:44,376 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2016-05-05 16:40:44,532 | INFO  | Listening for connections at ws://luomm-PC:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2016-05-05 16:40:44,533 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2016-05-05 16:40:44,545 | INFO  | Apache ActiveMQ 5.11.1 (localhost, ID:luomm-PC-57754-1462437644151-0:1) started | org.apache.activemq.broker.BrokerService | main
2016-05-05 16:40:44,550 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2016-05-05 16:40:44,555 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: E:\develop_resource\MQ\apache-activemq-5.11.1\bin\..\data\kahadb only has 50433 mb of usable space - resetting to maximum available disk space: 50433 mb | org.apache.activemq.broker.BrokerService | main
2016-05-05 16:40:44,577 | WARN  | Temporary Store limit is 51200 mb, whilst the temporary data directory: E:\develop_resource\MQ\apache-activemq-5.11.1\bin\..\data\localhost\tmp_storage only has 50433 mb of usable space - resetting to maximum available 50433 mb. | org.apache.activemq.broker.BrokerService | main
2016-05-05 16:40:45,204 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2016-05-05 16:40:45,266 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2016-05-05 16:40:45,625 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
